signature_id,rejection_reasons_json
short__body_to_range_bin__bullish__previous_state__5.0__ed9eedd0f0,"[""fdr_not_passed""]"
short__body_to_range_bin__bullish__previous_state__5.0__stock_vs_market_return_bin__minus_one_to_zero__a9bf97d2f7,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows""]"
short__body_to_range_bin__bullish__range_to_cost_bin__high__stock_vs_market_return_bin__minus_one_to_zero__4cf38acfac,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__realised_volatility_bin__high__75943022b9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__return_6_bin__below_minus_one_scale__49a87f35f0,"[""fdr_not_passed""]"
short__body_to_range_bin__bullish__session_return_bin__below_minus_one_scale__f68e8b1a24,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__state_age_bin__2_3__f1bf9acd5b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__state_motif_2__0gt4__e3745b69de,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__state_motif_2__2gt4__c27efbbd8e,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__state_motif_2__3gt6__303aeed322,"[""fdr_not_passed"",""insufficient_rows""]"
short__body_to_range_bin__bullish__state_motif_3__2gt1gt3__2a00ea255e,"[""fdr_not_passed"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__state_motif_3__4gt2gt4__universe_breadth_bin__mixed__6d32a6b896,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__state_motif_3__6gt4gt2__typical_price_distance_bin__below_minus_one_scale__97abfd9abd,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
short__body_to_range_bin__bullish__stock_vs_market_return_bin__minus_one_to_zero__7fd20f4635,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__top_loop_score_bin__high__ec19af108c,"[""fdr_not_passed""]"
short__body_to_range_bin__bullish__typical_price_distance_bin__below_minus_one_scale__44fa726c59,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__bullish__universe_breadth_bin__mixed__b7637b78ac,"[""chronology_not_consistent"",""fdr_not_passed""]"
short__body_to_range_bin__small__af29b1891b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__current_state__3.0__7b519577d8,"[""chronology_not_consistent"",""fdr_not_passed""]"
short__body_to_range_bin__small__movement_permission__False__prior_completed_dwell_bin__3_6__9dd814972b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__prior_completed_dwell_bin__3_6__f7c311485c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__prior_completed_dwell_bin__3_6__state_motif_3__1gt2gt1__18dbaff26b,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""stock_concentration""]"
short__body_to_range_bin__small__prior_completed_dwell_bin__3_6__state_motif_3__3gt1gt0__d99d9afdb5,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]"
short__body_to_range_bin__small__range_to_cost_bin__high__06510a00ed,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__range_to_cost_bin__high__return_6_bin__minus_one_to_zero__060eed67e4,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__realised_volatility_bin__middle__6ad0570f6b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__realised_volatility_bin__middle__rolling_high_low_location_bin__low__f540b4d6d8,"[""fdr_not_passed"",""non_positive_discovery_lift""]"
short__body_to_range_bin__small__state_motif_2__0gt4__63e4348f06,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff"",""stock_concentration""]"
short__body_to_range_bin__small__state_motif_2__1gt3__universe_breadth_bin__strong__5e773736b4,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__state_motif_2__2gt5__66d24c76e3,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
short__body_to_range_bin__small__state_motif_2__4gt2__6725f3fa22,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__state_motif_2__6gt5__1d3c361b96,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__state_motif_3__3gt0gt3__3412bf60d2,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
short__body_to_range_bin__small__state_motif_3__4gt3gt4__e75ffeb3cf,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift""]"
short__body_to_range_bin__small__state_motif_3__4gt6gt3__5bc0dbcfd7,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]"
short__body_to_range_bin__small__universe_breadth_bin__strong__a051dc0676,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__a5b84f55dd,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__compatibility_mass_bin__low__1f9f9b3a47,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__compatibility_mass_bin__low__return_1_bin__zero_to_plus_one__762e810469,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__compatibility_mass_bin__low__wick_asymmetry_bin__lower_dominant__610df8cbcc,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__cross_sectional_dispersion_bin__middle__3377afa5d8,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__opening_range_position_bin__above_range__6bc0f112b9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__opening_range_position_bin__above_range__state_motif_2__0gt1__d13192e3b3,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff"",""stock_concentration""]"
short__clock_phase__middle__prior_completed_dwell_bin__1_2__206ee42276,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__prior_completed_dwell_bin__1_2__state_motif_3__1gt3gt1__b202a6be0d,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__middle__state_motif_2__6gt4__ca2ef0ba9f,"[""chronology_not_consistent"",""fdr_not_passed"",""stock_concentration""]"
short__clock_phase__middle__state_motif_3__4gt6gt4__wick_asymmetry_bin__upper_dominant__c940ba80d7,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""stock_concentration""]"
short__clock_phase__middle__state_motif_3__6gt4gt3__19ff2da66c,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__034424e407,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__compatible_loop_count_bin__3_6__73ec7cab84,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__historical_activity_bin__middle__return_6_cross_sectional_rank_bin__bottom_20__420a25e8c1,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__opening_range_position_bin__above_range__return_1_bin__below_minus_one_scale__8f1e28c50d,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__opening_range_position_bin__below_range__top_second_margin_bin__high__dde160e4e6,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__prior_completed_dwell_bin__1_2__23a21aad0d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__return_6_bin__above_plus_one_scale__498c26ad3f,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__return_6_bin__below_minus_one_scale__universe_breadth_bin__weak__9402e3442c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__same_orientation_repeat_bin__2_plus__1e018392f7,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__session_return_bin__below_minus_one_scale__universe_breadth_bin__weak__71f11fa34a,"[""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__state_motif_2__3gt0__6541cf0564,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]"
short__clock_phase__opening__state_motif_2__5gt6__typical_price_distance_bin__minus_one_to_zero__ad826453a3,"[""chronology_not_consistent"",""fdr_not_passed""]"
short__clock_phase__opening__top_second_margin_bin__high__74b4264eb0,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__clock_phase__opening__universe_breadth_bin__weak__e7ec2a5a8b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__compression_bin__compressed__9da6bcc40c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__f65317fa14,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__movement_permission__True__183ab2f916,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__previous_state__4.0__fbaa0589e3,"[""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__realised_volatility_bin__high__e630ac22b1,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__return_1_bin__above_plus_one_scale__rolling_high_low_location_bin__middle__e6244bb4a9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__return_1_bin__below_minus_one_scale__return_6_cross_sectional_rank_bin__bottom_20__8666268b5c,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
short__close_location_bin__high__return_6_cross_sectional_rank_bin__bottom_20__82b15f57c0,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__return_6_cross_sectional_rank_bin__middle_60__universe_breadth_bin__mixed__1d66ed62d8,"[""chronology_not_consistent"",""fdr_not_passed""]"
short__close_location_bin__high__rolling_high_low_location_bin__high__stock_vs_market_return_bin__zero_to_plus_one__ff818c1ccb,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__rolling_high_low_location_bin__middle__a9fa6cb033,"[""chronology_not_consistent"",""fdr_not_passed""]"
short__close_location_bin__high__scheduled_bars_remaining_bin__41__62ba0d3b63,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__scheduled_bars_remaining_bin__41__state_motif_2__3gt0__2f6ae69a51,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__scheduled_bars_remaining_bin__41__state_motif_2__4gt6__04f482018e,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
short__close_location_bin__high__scheduled_bars_remaining_bin__41__state_motif_3__3gt6gt3__493bd28fbc,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__state_motif_2__3gt0__773a96b11e,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__state_motif_3__3gt4gt3__63e6db4b6e,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__stock_vs_market_return_bin__below_minus_one_scale__46ce74a165,"[""chronology_not_consistent"",""fdr_not_passed""]"
short__close_location_bin__high__stock_vs_market_return_bin__zero_to_plus_one__587744dd7d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
short__close_location_bin__high__top_parent_loop__cycle_07__66912ebf6f,"[""fdr_not_passed"",""insufficient_rows""]"
short__close_location_bin__high__universe_breadth_bin__mixed__e16a27fa6c,"[""fdr_not_passed""]"
short__close_location_bin__high__universe_breadth_bin__weak__f601871306,"[""fdr_not_passed"",""non_positive_discovery_payoff""]"
